timestamp,premise_id,verdict,indicator_value,dwell_periods,threshold,buffer,effective_threshold
2026-08-30 12:35:18,P-A-03,refuted,-0.7490398606539624,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.6653742789422147,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.28960752644512017,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.2861681481943788,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.27646763374614014,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.2872261699908166,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.44180242215230137,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.4419568751968537,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.4057215984382227,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.39748424460656206,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.4062578918843763,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.4266881184045128,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.33454399555245534,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.3282691404963393,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.31300913162665367,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.41559664196813656,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.40917001008861903,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.6985752196866388,0,0.15,0.48,0.63
2026-08-30 12:35:18,P-A-03,refuted,-0.7194581631485054,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.6561693958043169,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.6040352704227002,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.26456128388327255,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.2628204970880077,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.26305365281394416,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.2728185402907807,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.4433222101414391,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.42448979591836733,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.3791309332721853,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.3875257968355882,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.4450034395780784,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.43378673053549727,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.34828130557132786,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.36569008907916295,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.4499839405434195,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.6563857915206897,0,0.15,0.48,0.63
2026-08-30 12:35:19,P-A-03,refuted,-0.7149907261653681,0,0.15,0.48,0.63
2026-08-30 12:35:20,P-A-03,refuted,-0.7245991354528225,0,0.15,0.48,0.63
2026-08-30 12:35:20,P-A-03,refuted,-0.7096390064857876,0,0.15,0.48,0.63
2026-08-30 12:35:20,P-A-03,refuted,-0.6518529332026444,0,0.15,0.48,0.63
2026-08-30 12:35:20,P-A-03,refuted,-0.2618186631688518,0,0.15,0.48,0.63
2026-08-30 12:35:20,P-A-03,refuted,-0.25436718023861904,0,0.15,0.48,0.63
